name,text,rt,id
puan,Megawati dinilai mengirim sinyal kuat bahwa Puan Maharani adalah kandidat calon presiden yang nantinya akan diusung… https://t.co/Rc3YWvLdxU,0,1552268285047017472
puan,Megawati mengapresiasi Puan Maharani yang mampu menjadi ketua sidang IPU ke-144 di Bali. https://t.co/78DqxJRFkw Waktunya Puan Maharani,0,1552268285047017472
puan,Kewenangan untuk memutuskan pencalonan Puan Maharani di Pilpres 2024 berada di tangan Ketua Umum Ibu Megawati Soeka… https://t.co/5OukK57m23,0,1552268285047017472
puan,ABD Merkez Bankası mart ayından itibaren yaklaşık 225 puan faiz artırdı. Enflasyondaki artış devam ediyor. FED Başk… https://t.co/XZqHmkef1s,14,1552417747589529600
puan,"Karakter Puan Maharani mirip dengan Megawati, Puan dinilai mewarisi kepemimpinan ibunya dan dinilai mampu mewakili… https://t.co/flA90ckI2y",0,1552417747589529600
puan,Politisi PDIP ungkap Puan Maharani jadi calon presiden 2024 yang dipilih Megawati. https://t.co/k9gUpFKsbq Waktunya Puan Maharani,0,1552417747589529600
puan,Puan Maharani berpeluang untuk dipilih Megawati menjadi calon presiden 2024. https://t.co/hrQAqoenun Waktunya Puan Maharani,0,1552417747589529600
puan,"Jokowi dan megawati dipercaya sama-sama mendukung Puan Maharani. Tidak hanya kedua tokoh penting tersebut, PDIP jug… https://t.co/3DfymvfJyJ",0,1552417747589529600
puan,"setuju si sama Bu Puan, DPR emang harus transparan terkait draf RKUHP
Waktunya Puan Maharani https://t.co/XBIObGBKjp",0,1552417747589529600
puan,"Puan Maharani bersama Megawati Soekarnoputri, memberi semangat para kader PDI Perjuangan menjelang Rakernas.… https://t.co/EGLOLfApaI",0,1552417747589529600
puan,"Perintah Megawati, Puan Maharani harus menemui para ketum parpol untuk menjajaki kerja sama PDIP menjelang pemilu 2… https://t.co/ZFvpP8pc6l",0,1552417747589529600
puan,"Lahirkan Jokowi, Puan hingga Ganjar, Megawati Putuskan Capres 2024 Terbaik https://t.co/rPyr6qFwSj",0,1552417747589529600
puan,Puan Maharani dinilai potensial menjadi pemimpin nasional oleh pegiat kesetaraan gender. https://t.co/pRtU1dKo0G Waktunya Puan Maharani,0,1552417747589529600
puan,Puan Maharani diberi tugas oleh Megawati untuk jalin komunikasi PDIP dengan parpol lain. https://t.co/R97OQVQvvz Waktunya Puan Maharani,0,1552417747589529600
puan,Kader NU: Megawati kasih sinyal PDIP usung Puan Maharani. https://t.co/Tp9my6r70P Waktunya Puan Maharani,0,1552417747589529600
puan,"Nama bonda kita adalah Khadijah binti Khuwaylid.

خديجة بنت خويلد

Tiada ""Siti"" sepanjang pengetahuan saya. Saya di… https://t.co/ncVjzaEcBz",38,1552259818739486721
puan,"Karakternya mirip Megawati, Puan Maharani dinilai layak jadi calon presiden 2024. https://t.co/17EaMuFi9V Waktunya Puan Maharani",0,1552259818739486721
puan,Megawati siapkan Puan Maharani jadi suksesor di PDIP. https://t.co/tZ3dyFsVbK Waktunya Puan Maharani,0,1552259818739486721
puan,"Puji Puan Maharani, megawati sebut perempuan bisa bisa memimpin. https://t.co/924E6Ha5oy Waktunya Puan Maharani",0,1552259818739486721
puan,"Puan Maharani Terabas Hujan dan Panas Demi Dekat Dengan Petani.

Klen ga pengen ngakak sodara2? Ya udah aku aja dah yg ngakak! 🤣🤣🤣",131,1552066510595559425
puan,"Puan Maharani dipuji Megawati, sinyal restu capres 2024. https://t.co/9ombl3y9l3 Waktunya Puan Maharani",0,1552066510595559425
puan,Puan diprediksi akan menjadi calon presiden yang akan diusung oleh PDIP. https://t.co/r9L4btJqkG Waktunya Puan Maharani,0,1552066510595559425
puan,Dengan menugaskan Puan membuka komunikasi ke parpol lain pun Megawati dinilai menunjukkan kualitas Puan yang kini s… https://t.co/2otrxLKure,0,1552066510595559425
puan,"Megawati Soekarnoputri, diyakini akan menjadikan Prabowo dan Puan Maharani, sebagai titik temu pasangan yang akan m… https://t.co/XI9E3ujgDn",0,1552066510595559425
puan,"Puan Maharani dipupuk karir politiknya oleh Megawati, mulai dari menjabat anggota DPR RI, menjadi Ketua Fraksi PDIP… https://t.co/gnIlSPN0Vj",0,1552066510595559425
puan,Puan Maharani menyebut Capres dari PDIP akan langsung dipilih oleh Ketua Umum Megawati Soekarnoputri.… https://t.co/bm49cXfFku,0,1552066510595559425
puan,Sejak awal Megawati memang sudah menyiapkan Puan untuk menjadi pemimpin negeri. https://t.co/ep6qJmdzfO Waktunya Puan Maharani,0,1552066510595559425
puan,"Suudi Arabistan merkez bankası, faizleri 75 baz puan arttırdı.",7,1552435495158022144
puan,Kader PDI Perjuangan semakin kuat mendorong Ketua DPR RI Puan Maharani untuk menjadi calon presiden 2024.… https://t.co/IdNInXELmy,0,1552435495158022144
